      |=======================================|  
667:  "Hunh? PROF. BIRCH?\p"
784:  "O? Saccus tuus repletus est.$"
787:  "MAY: Delibero ubi eam quaerere POKéMON\n"
788:  "postea?$"
791:  "BRENDAN: Huh…\n"
792:  "Video, tamen POKéDEX habes.\p"
793:  "Hoc in causa, accipe.\p"
794:  "Te haec dare volo.$"
797:  "Sape, est plus iucundulus cui habenti\n"
798:  "magnam copiam POKéMON.\p"
799:  "Explorabo usquequaque, ut inveniam\n"
800:  "diversa POKéMON.\p"
801:  "Si robustos POKéMON inveniam, confide\n"
802:  "me conari capere cum POKé BALLS.$"
805:  "Salve, saccus tuus impletus est.$"
808:  "BRENDAN: Ubinam exquaeram\n"
809:  "POKéMON proximum...$"
812:  "Videtur esse machinam seriam.\n"
813:  "PROF. debet uti pro investigatione.$"
816:  "PC utendus pro investigatione est.\n"
817:  "Melius est non cum hac ludere.$"
820:  "Libris effertus est de POKéMON.$"
823:  "Liberum non legi fieri potest.$"
826:  "PROF. BIRCH: Nunc...\p"
827:  "{PLAYER}{KUN} et {RIVAL}, vos emitti,\n"
828:  "ut me auxilient investigare POKéMON.\p"
829:  "Gratias auxilium vestrum, facta nova\n"
830:  "incipiunt apparere.\p"
831:  "Videtur in regione HOENN esse tamen\n"
832:  "POKéMON ex alias regiones, qui hoc\l"
833:  "naturaliter non inventi sunt.\p"
834:  "Haec demonstrabant divitias et\n"
835:  "variationem circumiectorum naturalium\l"
836:  "in HOENN.\p"
837:  "Quocirca puto necesse est mihi tuum\n"
838:  "POKéDEX ampliare in novum Modum\l"
839:  "NATIONALEM.\p"
840:  "Da mihi, ut videam modulos POKéDEX.$"
843:  "MAY: Eheheh!\p"
844:  "Tam delicatum est POKéDEX meum renovari\n"
845:  "esse!\p"
846:  "Sic est quia isti foras et cepisti tot\n"
847:  "POKéMON, {PLAYER}{KUN}!$"
850:  "BRENDAN: circumii super totam HOENN et\n"
851:  "inspexi POKéMON.\p"
852:  "Mihi potes gratias agere propter Modum\n"
853:  "NATIONALEM POKéDEX adeptum.\p"
854:  "Vere, est fortunatus, {PLAYER}!$"
857:  "PROF. BIRCH: Okay, omnia facta!$"
860:  "{PLAYER} POKéDEX ampliatum est in Modum\n"
861:  "NATIONALEM!$"
864:  "PROF. BIRCH: Autem aude.\n"
865:  "CAMPIO factus es, sed iter tuum POKéMON\l"
866:  "non finitum est.\p"
867:  "Iam non est finis itineris tui, quod\n"
868:  "est POKéMON.\p"
869:  "Aliquo, locus unus gramineus te sperans\n"
870:  "est!$"
873:  "MAY: Volo requiem brevem habere ab\n"
874:  "labore ruribus.\p"
875:  "Puto posthac auxiliare PROF. hoc\n"
876:  "aliquantisper.$"
879:  "BRENDAN: Ad interim, requiescam ab\n"
880:  "labore ruribus.\p"
881:  "Auxiliabo posthac PROFESSORI hoc\n"
882:  "aliquamdiu.$"
885:  "PROF. BIRCH: O, {PLAYER}{KUN}!\n" 
886:  "Inspiciemus POKéDEX tuum.\p"
887:  "… … … … … …\n"
888:  "… … … … … …\p"
889:  "Intellego ut de eo dubitare non possim.\p"
890:  "Video… vero complevisti POKéDEX\n"
891:  "regionis HOENN.\p"
892:  "Hoc plus quam mirandum est.\p"
893:  "Munus tibi dare volo.\p"
894:  "Videatur tibi demonstrationem meam\n"
895:  "appreciandi propter opus mirabile tua.\p"
896:  "Merces tua erit rarus POKéMON non\n"
897:  "inveniendum, nisi in alia provincia!\p"
898:  "Quemvis de his bonis POKéMON potes\n"
899:  "accipere!$"
902:  "PROF. BIRCH: Hi rari POKéMON sunt\n"
903:  "inveniendi modo in alia provincia!\p"
904:  "Elige et delige et accipies quemvis de\n"
905:  "his tribus POKéMON!$"
908:  "PROF. BIRCH: POKéMON IGNIS\n"
909:  "CYNDAQUIL aspicis!\p"
910:  "Etiamnum eadem acutia!\p"
911:  "Tibine CYNDAQUIL eligis?$"
914:  "PROF. BIRCH: POKéMON AQUAE\n"
915:  "TOTODILE tibi allicere videmur!\p"
916:  "Scis vero eligere fortem.\p"
917:  "Ergo, accipies TOTODILE?$"
920:  "PROF. BIRCH: POKéMON GRAMINIS\n"
921:  "CHIKORITA a te electus est!\p"
922:  "Scilicet, vero scis quod agas.\p"
923:  "Tunc visne accipere CHIKORITA?$"
926:  "PROF. BIRCH: Rumina cogitatim, quaeso,\n"
927:  "cum tempus non cares."
928:  "Omnis pretiosus POKéMON sunt.$"
932:  "PROF. BIRCH: Video!\n"
933:  "Saluber POKéMON elegisti!$"
936:  "{PLAYER} accepit {STR_VAR_1}\n"
937:  "a PROF. BIRCH!$"
941:  "Vis cognomen dare ad {STR_VAR_1}, quem\n"
942:  "accepisti?$"
945:  "PROF. BIRCH: Aude, {PLAYER}{KUN}.\n"
946:  "POKéDEX HOENN complevisti, sed iter\l"
947:  "tuum POKéMON non finitum est\p"
948:  "Non iam est finis itineris quod est\n"
949:  "POKéMON.\p"
950:  "Aliquo, locus unus gramineus te sperans\n"
951:  "est!$"
954:  "Promissum POKéMON accepisti.\n"
955:  "Linque melius relici.$"
959:  "O, magis spatium propter hunc POKéMON\n"
960:  "indiges.$"
963:  "MAY: {PLAYER}{KUN}, posthac…\n"
964:  "Quid nobis faciendum est?\p"
965:  "Visne continuare certandum et poliendum\n"
966:  "artes tuas?"
967:  "Vel POKéDEX NATIONALEM implere\n"
968:  "conaberis?\p"
969:  "Remanebo hoc, ut PROF. adiuvem.$"
972:  "BRENDAN: Potius quam POKéMON\n"
973:  "colligendum, praefero curare lente et\l"
974:  "constanter electum meum.$"
977:  "MAY: O, salve, {PLAYER}{KUN}!\n"
978:  "Ad locum illum isti, MARGINEM MARTIS\l"
979:  "vocabitur?$"
982:  "BRENDAN: Salve, {PLAYER}!\n"
983:  "Ad locum illum isti, MARGINEM MARTIS\l"
984:  "vocabitur?$"
987:  "… … … … … …\n"
988:  "… … … … … Beep!\p"
989:  "SCOTT: Salve, {PLAYER}!\n"
990:  "Ego sum, SCOTT.\p"
991:  "Sum nunc in navi S.S. TIDAL.\n"
992:  "O, quam amoena aura maris!\p"
993:  "Ad propositum…\p"
994:  "Locus est, ad quem visitandum tibi\n"
995:  "invitare volo.\p"
996:  "Si libet, ascendas ad navem traiectoria\n"
997:  "aut in PORTU SAXEUS aut LILIAEPOLIS.\p"
998:  "Tibi enumerabo omnes cum coierimus.\n"
999:  "Te expectabo!\p"
1000:  "… … … … … …\n"
1001: "… … … … … Click!$"
